drop,seg_count,v_rise,v_fall,q
1,8,0.00159217477737397,-0.00621771965968655,-8.889293039576998e-25
2,5,0.00127462096507787,-0.00728511649023865,-1.1791819689816461e-24
3,11,0.00158584189726959,-0.00612340987787638,-8.654064818521861e-25
4,7,0.00045605190297443797,-0.00646119837300116,-9.648143664604862e-25
5,5,0.0,-0.004476785246907471,-5.106223536130113e-25
6,11,0.0012112504824457,-0.0299009593296158,-1.4059663113968663e-23
7,11,0.00342030252317716,-0.00587046093374246,-7.838299122485922e-25
8,7,0.000707217813700067,-0.0058556912520106,-8.092977366158531e-25
9,12,0.107787752668434,-0.00447421348148534,3.118953498990672e-25
10,3,0.00167007979895874,-0.00731353751657128,-1.1817045304184822e-24
11,12,0.00519315530497167,-0.0045858919458485,-4.917531686903432e-25
12,3,0.00183061092371885,-0.00660547984168023,-9.858320109070228e-25
